gene_ID,Log2FC,padj
PLPPR4,8.681491772,4.74E-10
ENPEP,7.512009588,1.73E-11
OMD,7.198000406,1.66E-31
BEST3,6.67626942,1.95E-10
C6orf58,6.581378331,7.39E-06
SOST,6.521102486,1.06E-33
TMPRSS3,6.463634651,0.000350931
LOC769486,6.333039483,4.78E-07
SPAM1,6.267275588,5.86E-07
SATB2,6.260521676,1.81E-06
GPNMB,6.200077726,1.88E-07
DKK1,6.168919649,6.35E-30
SOGA3,6.140142552,4.19E-05
HOXB13,6.119525607,8.36E-11
PHEX,6.067806783,1.10E-10
CHIR-AB1,6.043403798,0.000117318
SERPINA3/4L,6.03335214,5.47E-05
LOC112532798,6.004060562,0.000139119
AQP5,5.997688322,0.000335975
XRRA1,5.904469852,8.22E-05
KCNK2,5.890827749,4.46E-23
SLC34A2,5.82731265,0.00069237
LOC107049449,5.823500964,0.000183826
MAP3K15,5.803341647,1.22E-18
TSPAN1,5.798557087,0.000226902
LIPC,5.736421211,1.87E-43
LOC107053804,5.724104332,9.83E-08
FAM167A,5.644633049,1.05E-22
ATP6V1G3,5.580045862,7.07E-06
DLX3,5.548213517,8.43E-23
C9orf84,5.547027691,0.001088839
IYD,5.494368869,4.54E-05
LOC112532207,5.452975881,0.000464188
FSTL5,5.431938107,0.000232277
LOC107050038,5.424222495,0.000394954
FAM107A,5.409498318,0.000366984
ISLR2,5.393200622,1.64E-12
FIGNL2,5.362819587,3.47E-11
LOC107053256,5.326799596,0.001309639
LOC112531166,5.273719458,0.001819142
SH2D4B,5.265573181,6.55E-06
LOC107054133,5.254356798,9.17E-13
BGLAP,5.249381078,3.77E-11
VIPR1,5.198358504,2.79E-08
DGKI,5.183811372,2.22E-14
LOC769884,5.182244968,0.000597762
TSPAN8,5.170136529,2.28E-11
GABRD,5.144988055,5.07E-16
KCTD8,5.126375444,0.001691272
IBSP,5.078129049,6.73E-07
GPR158,5.023807026,0.001561903
LRRN1,4.969541818,1.80E-16
B3GALT5,4.955398195,0.003269721
ASZ1,4.934511299,0.002098062
LOC112530679,4.914510652,3.23E-05
PCDHAC2,4.909833522,5.09E-05
PAR2L,4.805835936,1.17E-05
GCNT2,4.790319967,9.88E-05
AFP,4.776751428,0.002753562
COL2A1L,4.767946225,2.16E-05
VILL,4.75232444,5.25E-25
NLGN1,4.724787363,0.002043462
F7,4.718607292,1.33E-06
LOC769590,4.704149051,3.02E-05
IFITM5,4.696066818,5.74E-45
LOC107052071,4.674647074,7.31E-05
DLX6,4.66419222,2.45E-15
PKHD1,4.64381537,3.14E-05
PLEKHG7,4.641235469,1.42E-09
AvBD6,4.636467038,3.68E-14
LOC101748943,4.623200375,0.00240074
LYG2,4.607079135,1.80E-14
LOC112531905,4.592760098,9.88E-05
ADGRD1,4.587011608,1.53E-12
LOC112532133,4.583848939,0.000147932
MEPE,4.583352026,0.000136999
CD200L,4.574960695,1.10E-06
KIAA1549L,4.570965021,2.80E-06
SIGLEC15,4.562342967,1.06E-13
CAMP,4.548959671,3.53E-15
AvBD2,4.545500323,7.64E-14
KAZALD1,4.544501165,1.59E-26
SPHKAP,4.539465415,1.11E-05
KIAA0408,4.532142577,8.63E-25
SV2C,4.532093964,2.58E-08
LECT2,4.51391708,3.16E-14
SERPINB10B,4.504168284,1.48E-13
C24H11orf34,4.499982078,0.000150664
LOC107053254,4.47918559,0.000462286
S100A9,4.47402604,2.39E-13
AvBD1,4.462138172,3.01E-08
SPIK2,4.445264974,4.54E-15
PDE6H,4.441840106,9.65E-05
ELOVL2,4.43674582,0.014461199
IL17REL,4.43217244,0.006381269
CATH1,4.432147749,1.61E-12
LOC427665,4.426086287,7.68E-18
ASIC4,4.41953761,9.65E-06
PTPRO,4.418401798,0.00081007
CHRNA4,4.406663412,2.90E-11
SLC24A2,4.403714577,9.40E-06
PRSS57,4.365054981,1.76E-15
PSTPIP2,4.35576805,9.86E-34
PLXNA4,4.332805656,2.72E-11
KL,4.331604688,0.00635592
LYPD6B,4.323607543,2.71E-08
SGK2,4.319858475,9.10E-10
GRIA1,4.309903161,1.44E-12
AvBD4,4.306874076,1.11E-12
LOC107054799,4.306117378,0.005215189
MATN4,4.284336192,1.24E-08
LRRC4C,4.280432073,8.73E-09
RSFR,4.25321413,1.20E-15
TGM3,4.24285476,1.27E-15
LOC112532265,4.24235419,2.02E-05
LOC107055062,4.23049295,4.78E-16
LOC107054405,4.227182808,9.91E-08
LOC415913,4.219321987,1.08E-13
ANKRD22,4.212830312,1.15E-11
SLC26A7,4.206536475,3.24E-09
TMEM45BL,4.196727106,1.42E-11
LOC101750074,4.179725795,3.03E-05
CDH2,4.1497965,1.12E-40
LOC112532339,4.148285138,0.007436233
GFRA4,4.13627536,2.67E-11
TRIM71,4.134452163,2.54E-13
DCHS2,4.126844455,3.28E-06
RAB3C,4.125894916,1.83E-10
CST7,4.116091982,2.44E-18
LOC101747455,4.104579038,1.26E-12
KRT15,4.100764707,4.97E-06
AOAH,4.100467023,4.39E-15
IGLL1,4.098365062,1.54E-05
QPRT,4.090628057,0.000590119
KLHL14,4.089994186,3.84E-07
CEBPA,4.087247417,2.82E-18
LOC112531135,4.08254375,0.000982807
LPAR3,4.082312541,2.15E-13
LOC107049422,4.081145394,0.018034676
GABBR2,4.078536883,0.000167069
CYP1C1,4.075453113,9.65E-09
ADGRD2,4.07507251,9.05E-06
LOC107054889,4.07373474,1.11E-05
NCF4,4.071510084,7.14E-14
ACP5,4.071166343,0.001044264
RGSL1,4.053224569,0.00025028
LOC422924,4.052505217,0.011649687
MCHR2,4.051720919,9.93E-08
LYZ,4.043170754,8.99E-07
BCO2,4.026463815,0.009352396
CYP2AB4,4.017272494,0.010855072
PPP2R2C,4.008422587,1.18E-09
XCR1,3.991920322,0.000435324
PAX3,3.988209325,0.000360327
LOC420107,3.98659488,0.000433226
LOC418355,3.983338111,0.000312553
PLXNC1,3.978527676,5.01E-22
LOC112529971,3.974650523,2.71E-05
GRIK3,3.959856778,0.008666611
DDEFL1,3.956304628,1.08E-15
PI3,3.953241775,7.72E-15
PRAM1,3.950218195,2.37E-14
LOC107054402,3.94513855,8.64E-09
LRG1,3.94324773,3.63E-09
ADGRG3,3.942769435,1.17E-10
RBPJL,3.938089172,1.21E-10
SHTN1,3.937319084,2.42E-12
AvBD7,3.936917163,1.50E-05
ST18,3.926141586,3.66E-09
LOC107049105,3.926090813,0.004939145
DCSTAMP,3.906146662,2.16E-20
FCGBPL,3.902877434,0.001437065
TMEFF1,3.902199182,1.10E-05
PTPN22,3.898635846,7.91E-22
ANKS1B,3.896147544,4.30E-06
C18H17ORF67,3.88125375,1.43E-05
CD163,3.876610514,3.45E-10
