pathway,gene,baseMean,mean_norm_Sacral,mean_norm_Free,mean_norm_Pygo,norm_Sacral_1,norm_Sacral_2,norm_Sacral_3,norm_Sacral_4,norm_Free_1,norm_Free_2,norm_Free_3,norm_Free_4,norm_Pygo_1,norm_Pygo_2,norm_Pygo_3,norm_Pygo_4,Sacral_vs_Free__log2FC,Sacral_vs_Free__log2FC_shrunken,Sacral_vs_Free__lfcSE_shrunken,Sacral_vs_Free__stat,Sacral_vs_Free__pvalue,Sacral_vs_Free__padj,Sacral_vs_Free__DE_call,Pygo_vs_Free__log2FC,Pygo_vs_Free__log2FC_shrunken,Pygo_vs_Free__lfcSE_shrunken,Pygo_vs_Free__stat,Pygo_vs_Free__pvalue,Pygo_vs_Free__padj,Pygo_vs_Free__DE_call,Sacral_vs_Pygo__log2FC,Sacral_vs_Pygo__log2FC_shrunken,Sacral_vs_Pygo__lfcSE_shrunken,Sacral_vs_Pygo__stat,Sacral_vs_Pygo__pvalue,Sacral_vs_Pygo__padj,Sacral_vs_Pygo__DE_call
Necroptosis,TAB2,5858.08219620615,6812.70998700555,4645.08781488994,6116.44878672294,5247.78760298086,7075.7328221206,7398.45102419972,7528.86849872103,4655.68948237427,4648.30804210112,4464.56587623662,4811.78785884776,4997.12069569186,6132.71172938974,6470.14005761734,6865.82266419281,0.552408490227915,0.54052793278313,0.142890977797133,3.83457523125893,0.0001257814710588,0.0006872559821465,Sacral_up,0.397155776262914,0.368950018451183,0.141381827238304,2.7561313454273,0.0058489504619292,0.0191773432164332,Pygo_up,0.155252713965001,0.13989554528158,0.136471184245345,1.07836706597191,0.280869978375856,0.429548721626519,not_sig
Necroptosis,MAP3K7,5029.83314653508,6288.76814944717,4356.3464761519,4444.38481400618,5495.42136249708,7511.51050685004,6307.33258872708,5840.80813971449,4867.557404024,4548.64668221,4264.57656396276,3744.60525441083,4557.10577268866,4429.03807887837,4274.46346671029,4516.93193774742,0.529864153315754,0.517154743026359,0.124537265119446,4.22363539743766,2.40392838459722e-05,0.0001561428882499,Sacral_up,0.0287822091072508,0.0276606464969315,0.122439164537622,0.229152431613778,0.818750442928276,0.882250384222512,not_sig,0.501081944208503,0.473388932221458,0.12488572763342,3.99426396914144,6.48955323480219e-05,0.0007720736620678,Sacral_up
Necroptosis,TAB3,3035.87205399547,3670.54864548491,2929.80497838929,2507.26253811219,3397.98203847439,3735.02188607197,3804.44050409187,3744.75015330143,3583.37836871853,3153.38764373435,2453.50016622012,2528.95373488416,2141.04822290583,2844.3049795579,2469.82081481962,2573.87613516542,0.325081835890876,0.312364920414479,0.146190967554796,2.18647388895142,0.0287809529724278,0.0734586520286749,not_sig,-0.22432425273337,-0.209660928246302,0.144678070667008,-1.50634041771587,0.131979807531972,0.235184310507675,not_sig,0.549406088624247,0.509628411691754,0.14834106343242,3.69245283110897,0.0002221015437406,0.0020147904836492,Sacral_up
Necroptosis,NFKB1,2361.97769625342,2178.4140829476,2585.6964849046,2321.82252090806,2152.36560902816,2518.16170760605,2000.75492708606,2042.3740880701,2479.7194503289,2767.51930159182,2789.79504328399,2305.75214441369,2279.22364080013,2109.26948694652,2210.8133885464,2687.98356733921,-0.246675887394833,-0.238490912333983,0.124448969077098,-1.95468585978448,0.0506201600946419,0.115936178815634,not_sig,-0.155604690753657,-0.147681523839191,0.123270841184694,-1.23332680094254,0.217453862602459,0.345502219498414,not_sig,-0.0910711966411759,-0.0820821329091828,0.12049002125134,-0.721051417889886,0.470877880003287,0.616040432302272,not_sig
Necroptosis,FADD,2114.04115614441,2664.62514465337,2046.53359129494,1630.96473248491,2493.09476685875,2723.98749987445,2716.66222709516,2724.75608478511,2237.58468272922,2092.03675121868,1698.23326623615,2158.2796649957,1132.23352138629,1415.30699042983,1787.82398784695,2188.49443027657,0.380652279834839,0.361026521256408,0.188796630732047,1.96486629637713,0.0494297145146865,0.113917104218381,not_sig,-0.327082903342854,-0.294234619305863,0.186544926944274,-1.68536475771721,0.091918218729588,0.177403748185536,not_sig,0.707735183177693,0.639586009448115,0.19543533854356,3.6497799563755,0.000262465048204,0.0022911335051069,Sacral_up
Necroptosis,CHUK,2106.53165183532,1862.86303423,2240.21910608376,2216.51281519219,1752.98635025953,2068.81309151827,1827.06668633736,1802.58600880486,2335.95193206659,2297.32211646449,2138.43320498421,2189.16917081974,2304.71231012043,2103.27967501604,2024.12621766116,2433.93305797114,-0.265548222946833,-0.259624677298133,0.0968998460739798,-2.71769300232688,0.0065738802478721,0.021635508835858,Free_up,-0.0161995721656202,-0.0183228906116383,0.0959586834418065,-0.166112862890188,0.868068131668959,0.915298855530872,not_sig,-0.249348650781213,-0.236412387447995,0.0959967026344215,-2.55106092990557,0.0107395548683762,0.0391802864162524,Pygo_up
Necroptosis,CFLAR,2029.60508894855,2106.9974108727,2588.9335007085,1392.88435526445,2469.82091728015,2030.36211933626,2028.5895810522,1899.2170258222,3142.34718487625,2920.84447065507,2044.5834718501,2247.95887545259,1215.40707390519,1399.04892947568,1475.83776983603,1481.24364784091,-0.297137138290165,-0.282684451347703,0.161832847533304,-1.795500667935,0.0725739664329889,0.154216411926924,not_sig,-0.893948053080402,-0.858305736003282,0.16622885760895,-5.38832315143546,7.11180949403163e-08,1.1404018430511e-06,Free_up,0.596810914790237,0.547543144029288,0.166046213199849,3.59450585862339,0.0003250078322124,0.0027107720394147,Sacral_up
Necroptosis,CYLD,1694.81701530858,1663.73798907752,1728.20676496283,1692.50629188538,1841.42697865818,1699.38218231858,1545.37998820003,1568.76280713328,1717.64350766026,1809.23699494645,1511.65105869573,1874.2954985489,1749.32762072005,1645.48690604388,1689.43480319122,1685.77583758638,-0.0546306830511798,-0.0533430446543483,0.100923884983849,-0.535444580446778,0.592342470077918,0.718850985281191,not_sig,-0.0309085025531976,-0.0297528101606914,0.100334621310438,-0.302878454293573,0.761982491585937,0.843036824846222,not_sig,-0.0237221804979822,-0.0220820641617209,0.098752942088212,-0.232379340116051,0.816243393968005,0.885630431501756,not_sig
Necroptosis,IKBKB,1519.96544356263,1432.37946861011,1421.70722027547,1705.8096418023,1373.15712513691,1577.99774072439,1486.37052179182,1291.99248678733,1307.96012855186,1489.809559398,1560.81044271836,1328.24875043364,1816.40306629981,1665.16771667259,1732.32239650269,1609.34538773413,0.0115919296259016,0.0114668569171796,0.105565999480183,0.108500886119252,0.913598377643948,0.947412925303018,not_sig,0.262427035819872,0.25694737915086,0.105200785738439,2.46155236383821,0.013833720235001,0.0389809781288036,Pygo_up,-0.25083510619397,-0.236006700116089,0.104303564071891,-2.35369018833516,0.0185880962105007,0.0592429682625787,not_sig
Necroptosis,TNFRSF1A,1504.56246576121,801.768442156279,2419.84731519461,1292.07163993274,673.079729812873,799.931009511983,891.822313075091,842.240716225169,2484.04328546461,2688.3012975758,1964.14084344944,2542.90383428857,1572.24844438949,1479.4835468278,1002.39237700544,1114.16219150824,-1.59430436246172,-1.56563311207856,0.182985733473571,-8.74469368373805,2.23621476893682e-18,1.01506948857663e-16,Free_up,-0.906084015812548,-0.863745697422501,0.182135227476032,-4.98734512569714,6.12146558265037e-07,7.76833729101502e-06,Free_up,-0.688220346649175,-0.626736543481298,0.184035861418299,-3.76374708006288,0.0001673861815828,0.0016205838515508,Pygo_up
